cost,raw_generated,canonical_unique,kept,status,elapsed_sec,growth_factor
1,0,0,0,bounded_shell,0.0,nothing
2,1,1,1,bounded_shell,0.0,nothing
3,8,8,8,bounded_shell,0.3,8.0
4,27,25,25,bounded_shell,0.1,3.125
5,79,63,63,bounded_shell,0.4,2.52
6,232,170,170,bounded_shell,0.5,2.6984
7,794,642,642,bounded_shell,0.7,3.7765
8,3011,2380,2380,bounded_shell,1.3,3.7072
9,11224,6484,6484,bounded_shell,2.5,2.7244
10,36724,13651,13651,bounded_shell,5.3,2.1053
11,114912,25615,25615,bounded_shell,11.9,1.8764
12,363786,44945,44945,bounded_shell,24.1,1.7546
13,1123441,74773,74773,bounded_shell,53.1,1.6637
14,3282847,123443,123443,bounded_shell,125.4,1.6509
15,9268493,195277,195277,bounded_shell,383.9,1.5819
16,26067198,196907,196907,bounded_shell,1263.3,1.0083
17,72954563,254373,254373,bounded_shell,3437.0,1.2918
18,198057444,362163,362163,bounded_shell,11475.7,1.4237
