budget,target,rank,expr,value,cost,rel_err,family,sibling_or_trash
20,g_decode_alpha_ge,1,(((3 * exp(e))^-3)^3)^3,1.7510016967113454e-45,17,0.00046106794087053026,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,2,(((3 * exp(e))^3)^-3)^3,1.7510016967113448e-45,17,0.0004610679408708855,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,3,(((3 * exp(e))^3)^3)^-3,1.7510016967113445e-45,17,0.0004610679408710631,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,4,((((2 * alpha)^2)^2)^2)^3 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,5,((((2 * alpha)^2)^2)^3)^2 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,6,((((2 * alpha)^2)^3)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,7,((((2 * alpha)^3)^2)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,8,(((2/3)-(1))^-1 + 3 * e)^3,1.7591145028501428e-45,18,0.004170032987932932,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,9,(((alpha)^-2)^3 * (5)^3)^-3,1.762973941564679e-45,18,0.006373148643571824,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,10,(((5)/((alpha)^2))^-3)^3,1.7629739415646795e-45,15,0.006373148643572179,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,11,(1)/((((5)/((alpha)^2))^3)^3),1.7629739415646795e-45,17,0.006373148643572179,div,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,12,(1)/((((alpha)^-2 * 5)^3)^3),1.7629739415646795e-45,18,0.006373148643572179,div,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,13,(((5)/((alpha)^2))^3)^-3,1.7629739415646798e-45,15,0.006373148643572357,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,14,(((alpha)^-2 * 5)^3)^-3,1.7629739415646798e-45,16,0.006373148643572357,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,15,(((alpha)^2)^-3 * (5)^3)^-3,1.7629739415646798e-45,18,0.006373148643572357,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,16,((((alpha)^2)/(5))^3)^3,1.7629739415646804e-45,14,0.006373148643572712,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,17,(((alpha)^2 * 1/5)^3)^3,1.7629739415646804e-45,14,0.006373148643572712,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,18,((((alpha)^2)/((1/5)^-1))^3)^3,1.7629739415646804e-45,15,0.006373148643572712,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,19,(((alpha)^2)^3 * (5)^-3)^3,1.7629739415646804e-45,17,0.006373148643572712,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,20,(((alpha)^3)^2 * (5)^-3)^3,1.7629739415646804e-45,17,0.006373148643572712,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,21,((((alpha)^2)/(5))^-3)^-3,1.7629739415646808e-45,16,0.00637314864357289,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,22,(((alpha)^2 * 1/5)^-3)^-3,1.7629739415646808e-45,16,0.00637314864357289,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,23,(((alpha)^-3)^2 * (5)^3)^-3,1.7629739415646808e-45,18,0.00637314864357289,pow,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,24,(((alpha)^3)^3)^2 * ((1/5)^3)^3,1.7629739415646814e-45,18,0.006373148643573245,mul,TRASH_BROAD_GRAMMAR
20,g_decode_alpha_ge,25,(((alpha)^2)^3)^3 * ((1/5)^3)^3,1.7629739415646817e-45,18,0.006373148643573422,mul,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,1,4/3 * alpha^21 * exp((-5/2)*alpha),1.751812647547939e-45,28,1.8539024855725e-6,alpha_exp_family,CANONICAL_G
30,g_decode_alpha_ge,2,(((3 * exp(e))^-3)^3)^3,1.7510016967113454e-45,17,0.00046106794087053026,pow,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,3,(((3 * exp(e))^3)^-3)^3,1.7510016967113448e-45,17,0.0004610679408708855,pow,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,4,(((3 * exp(e))^3)^3)^-3,1.7510016967113445e-45,17,0.0004610679408710631,pow,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,5,4/3 * alpha^21 * exp((-3)*alpha),1.7454324969160046e-45,26,0.0036401808031332346,alpha_exp_family,SIBLING_LOCAL_DEFORMATION
30,g_decode_alpha_ge,6,4/3 * alpha^21 * exp((-2)*alpha),1.758216119804833e-45,26,0.003657201486184264,alpha_exp_family,SIBLING_LOCAL_DEFORMATION
30,g_decode_alpha_ge,7,((((2 * alpha)^2)^2)^2)^3 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,8,((((2 * alpha)^2)^2)^3)^2 * 1/5,1.744688108680157e-45,18,0.004065106160826503,mul,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,9,((((2 * alpha)^2)^3)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,10,((((2 * alpha)^3)^2)^2)^2 * 1/5,1.7446881086801566e-45,18,0.00406510616082668,mul,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,11,(((2/3)-(1))^-1 + 3 * e)^3,1.7591145028501428e-45,18,0.004170032987932932,pow,TRASH_BROAD_GRAMMAR
30,g_decode_alpha_ge,12,(((alpha)^-2)^3 * (5)^3)^-3,1.762973941564679e-45,18,0.006373148643571824,pow,TRASH_BROAD_GRAMMAR
