experiment_or_adjustment,source_citation,G_value,std_unc,type,method_notes,residual_ppm,z_score
CODATA 2014,Mohr et al. (2016),6.67408,0.00031,Adjustment,Least-squares adjustment,-34.80,+0.750
CODATA 2018,Tiesinga et al. (2021),6.67430,0.00015,Adjustment,Least-squares adjustment,-1.84,+0.082
CODATA 2022,Mohr et al. (2025),6.67430,0.00015,Adjustment,Least-squares adjustment,-1.84,+0.082
UWash/Gundlach-Merkowitz,Gundlach & Merkowitz (2000),6.674215,0.000092,Primary,"Torsion balance, AAF",+14.58,-1.057
BIPM 2001,Quinn et al. (2001),6.67559,0.00027,Primary,"Torsion strip, electrostatic comp.",-191.40,+4.731
UZur-06,Schlamminger et al. (2006),6.67425,0.00012,Primary,"Beam balance, mass shifting",+9.33,-0.519
JILA-10,Parks & Faller (2010),6.67234,0.00014,Primary,"Fabry-Perot interferometer",+295.59,-14.088
BIPM 2013,Quinn et al. (2013),6.67554,0.00016,Primary,"Torsion strip, electrostatic & TOS",-183.91,+7.673
Rosi atom interferometry,Rosi et al. (2014),6.67191,0.00099,Primary,"Atom interferometry",+360.05,-2.427
UCI-14,Newman et al. (2014),6.67433,0.00013,Primary,"Torsion balance, TOS",-2.65,+0.136
HUST-18 time-of-swing,Li et al. (2018),6.674184,0.000078,Primary,"Torsion balance, TOS",+19.22,-1.645
HUST-18 angular-acceleration,Li et al. (2018),6.674484,0.000078,Primary,"Torsion balance, AAF",-25.72,+2.201
Schlamminger/NIST 2026 Metrologia,Schlamminger et al. (2026),6.67387,0.00038,Primary,"New 10-year measurement",+66.27,-1.164
